id,label,description,rights,meta.Agent,meta.Alt Text,meta.Cultural Context,meta.Date,meta.Location: Current,meta.Location: Place of Origin,meta.Rights,meta.Style Period,meta.Subject,Meta.Worktype
000212,"Cuneiform tablet: Atra-hasis, Babylonian flood myth","A fragment of a cuneiform tablet, written on both sides.",CC 1.0 Universal Public Domain,Unknown,"A fragment of a cuneiform tablet, written on both sides.","Middle Eastern, Mesopotamian, Babylonian, Akkadian",BCE 600 ca. ,"Metropolitan Museum of Art, New York, USA ",Mesopotamia,CC 1.0 Universal Public Domain,"7th Century BCE, Neo-Babylonian or Achaemenid",Mesopotamian mythology,Cuneiform Tablet
000213,Cuneiform tablet: Old Babylonian balag to the mother goddess Aruru,"A fragment of a clay tablet, inscribed with cuneiform letters on both sides.",CC 1.0 Universal Public Domain,Unknown,"A fragment of a clay tablet, inscribed with cuneiform letters on both sides","Middle Eastern, Mesopotamian, Babylonian, Sumerian",BCE 1700,"Metropolitan Museum of Art, New York, USA",Near East,CC 1.0 Universal Public Domain,"2nd Millennium BCE, Old Babylonian",Mesopotamian mythology,Cuneiform Tablet
000214,Cuneiform tablet: private letter,"A clay tablet inscribed with cuneiform script on front, back, and sides.",CC 1.0 Universal Public Domain,Unknown,"A clay tablet inscribed with cuneiform script on front, back, and sides","Middle Eastern, Anatolian, Mesopotamian",BCE 2000 ca.,"Metropolitan Museum of Art, New York, USA ","Anatolia, probably from Kültepe (Karum Kanesh, Turkey)",CC 1.0 Universal Public Domain,3rd Millennium BCE,correspondence,Cuneiform Tablet
000215,Cylinder Seal -- a Deity Accepting an Offering,"Five figures stand on a common ground. Three on the left face the two on the right. The furthest on the right stands on a pedestal. The center figure holds an animal, offering it to the robed figure, who holds a knife.",CC BY-SA 3.0 Walters Art Museum,Unknown,Five figures stand on a common ground,"Middle Eastern, Mesopotamian, Babylonian",BCE 1750,"Walters Museum, Baltimore USA",Mesopotamia -- Babylon,CC BY-SA 3.0 Walters Art Museum,"2nd Millennium BCE, Old Babylonian",Old Babylon,Seals
000216,"Cylinder Seal -- a worshipper and Marduk, showing Enkidu and Gilgamesh flanking a fleeing Humbaba","Four figures are displayed in a rectangular scene. The figure on the left stands with his arms positioned in worship. Two vertical symbols of gods — a spade of the god Marduk, and a stylus of the god Nabu — separate a trio of figures on the right, the middle one kneeling.",CC BY-SA 3.0 © The Trustees of the British Museum,Unknown,Four figures are displayed in a rectangular scene,"Middle Eastern, Mesopotamian, Neo-Assyrian, Babylonian",BCE 720,"British Museum, Not on display",Ancient Near East,CC BY-SA 3.0 © The Trustees of the British Museum,"8th Century BCE, Neo-Assyrian",Gilgamesh,Seals
000217,Cylinder Seal -- bull-man fighting a lion and bull-man fighting a water buffalo,"Two pairs of figures in combat flank a vertical cuneiform inscription. On the left, a bull-man combats a lion, with a star and crescent moon between them. On the right a nude bearded hero combats a water buffalo, with a horned animal between them. The vertical band of Akkadian that separates them reads, “Shusiba, servant of the house/temple of [the god] Ishkur”",CC 1.0 Universal Public Domain,Unknown,Two pairs of figures in combat flank a vertical cuneiform inscription,"Middle Eastern, Mesopotamian, Akkadian",BCE 2250-2150,"Metropolitan Museum of Art, New York, USA",Mesopotamia,CC 1.0 Universal Public Domain,"3rd Millennium BCE, Akkadian",animals,Seals
000218,Cylinder seal -- hunter holding a lion; griffin attacking a stag; double-headed eagle,"A nude hero wearing a belt and conical plumed cap stands between two lions, holding one upside down by its tail. To the right is a smaller scene of a griffin attacking a stag. A double-headed eagle hovers between the two scenes and, at the same level, another smaller nude belted hero is flanked by dogs.",CC 1.0 Universal Public Domain,Unknown,"A nude hero wearing a belt and conical plumed cap stands between two lions, holding one upside down.","Middle Eastern, Mesopotamian, Sumerian",BCE 1350,"Metropolitan Museum of Art, New York, USA ",Ancient Near East,CC 1.0 Universal Public Domain,"2nd Millennium BCE, Late Bronze Age","hunter, animals",Seals
000219,Cylinder seal -- Ishtar image and a worshiper below a canopy flanked by winged genies,"Two winged figures hold a canopy above a pair who face each other, one of them kneeling.",CC 1.0 Universal Public Domain,Unknown,"Two winged figures hold a canopy above a pair who face each other, one of them kneeling","Middle Eastern, Mesopotamian, Assyrian",BCE 800-600 ,"Metropolitan Museum of Art, New York, USA",Mesopotamia ,CC 1.0 Universal Public Domain,"9th Century BCE, Neo-Assyrian",Istar,Seals
000220,Cylinder seal -- royal worshiper before a god on a throne; human-headed bulls below,"A carved cylinder seal with a modern impression showing a worshiper offering a caprid to a seated figure. Between them are a winged rosette disk with crescent, two stars, a squatting monkey, and an ankh, or a so-called Egyptian cross.",CC 1.0 Universal Public Domain,Unknown,A carved cylinder seal  showing a worshiper offering a caprid to a seated figure.,"Middle Eastern, Mesopotamian, Old Syrian",BCE 1820-1730,"Metropolitan Museum of Art, New York, USA ",Syria,CC 1.0 Universal Public Domain,"2nd Millennium BCE, Old Syrian",worshipper,Seals
000221,Cylinder seal and modern impression: demons and animals,"This seal shows an elaborate many-figured design. Two demonic lion-headed creatures, known as Minoan Genii, face one another, holding vessels by the handles. They stand on the backs of confronted lions, with heads of horned animals. Above them, between a small leaping ibex and crossed lions, signs of the Cypro-Minoan script flank a central rosette over a winged sun disc. A second group is composed of two figures grasping a lion suspended between them, one by the tail and the other by the hind leg. One figure wears a knobbed cap and a belted flounced garment, while the other is a bull-headed demon. Approaching the scene is an upright human-headed lion.",CC 1.0 Universal Public Domain,Unknown,cylinder seal and impression of demons and animals,"Ancient Greek, Minoan",BCE 1350,"Metropolitan Museum of Art, New York, USA",Cyprus,CC 1.0 Universal Public Domain,"2nd Millennium BCE, Late Cypriot II","demons, animals",Seals
000222,Cyrus Cylinder Seal front side,"A clay cylinder, inscribed with Babylonian letters",CC BY-SA 3.0 © The Trustees of the British Museum,Unknown,"A clay cylinder, inscribed with Babylonian letters.","Middle Eastern, Mesopotamian, Babylonian",BCE 539,British Museum,Amran (Babylon),CC BY-SA 3.0 © The Trustees of the British Museum,"6th Century BCE, Achaemenid Dynasty",Achaemenid Dynasty,Seals
000223,Dalí: Crucifixion (Corpus Hypercubus),"This oil on canvas painting shows a depiction of Christ’s crucifixion.  It employs dramatic lighting and two-point perspective to show two figures: one stands in flowing robes on the ground on the lower left of the canvas looking up toward the second figure of Christ crucified on a cross that hangs in the air, not touching the ground. This “crucifix” is actually composed of golden cubes that are repeated in four smaller cubes in front of Christ and the squares on the ground upon which the female devotional figure (likely Mary Magdalene) stands. While Christ’s face is turned away from the viewer and his body floats in front of the cross, the tensed fingers of both hands suggest martyrdom, and the gestures are emphasized by the shadows they cast on the crucifix. Below, a checkered floor improbably provides a second linear perspective pointing to the mountains on the left in the background, in this scene of dark browns and brilliant yellow-gold, leading the eye to the glimmer of light along what looks like a distant coastline.","ArtStor:  © 2019 Artists Rights Society (ARS), New York",Salvador Dalí,A nude man hangs from a floating cross while a robe-wrapped woman on the ground watches.,"Northern and Western Europe, Spanish, Surrealism, Modernism",CE 1954,"The Metropolitan Museum of Art, New York, NY, USA","Port Lligat, Spain","ArtStor:  © 2019 Artists Rights Society (ARS), New York","20th Century CE, Surrealism, Modernism",Christianity,Painting
000224,Dalí: The Persistence of Memory,"A Surrealist landscape in oil on canvas shows a body of water and a jagged coastline in the background.  A cube, a platform, an upright dead branch, and a walrus-shaped object on the sand.  Four pocket watches are distributed in this scene, three of them with their faces visible and draped, as if they are melting, over other features of the landscape. The closed orange-gold watch on the lower left is covered with ants, and on the blue face of the watch, behind it, is a fly whose shadow is also visible. An unnatural light illuminates the background of water and sky, putting the foreground into shadow. A strange creature—part fish, part human being, part shell?—is in the central foreground, one of the watches draped over it.",ArtStor: Museum of Modern Art,Salvador Dalí,Four pocket watches are on a beach with an ocean and cliffs in the background.,"Northern and Western Europe, Spanish, Surrealism, Modernism",CE 1931,"MoMA (Museum of Modern Art), New York City","Port Lligat, Spain",ArtStor: Museum of Modern Art,"20th Century CE, Surrealism, Modernism",Surrealist landscape,Painting
000225,Dance Mask of the Tunghat,"This mask is a spirit or dance mask. One elongated seal-shape forms an arching brow above the eyes, and across the nose drapes another seal-shape.  The lower part of the face resembles a walrus. Above the brow are small canoe-shaped boats with humans in them.",CC 1.0 Universal Public Domain,Unknown,A mask made of wood resembles a walrus.,"American, Alaskan, Yup'ik",CE 1850-1900,"Peabody Museum at Harvard University, Cambridge, MA, USA","Askinuk Mountains, Alaska",CC 1.0 Universal Public Domain,19th Century CE,dance mask,Sculpture
000226,Das: The Great Indian Fruit Bat,"Painting of the Great Indian Fruit Bat, positioned to show anatomical detail",Public Domain,Bhawani Das (or follower),Painting of the Great Indian Fruit Bat,"South Asian, Bangladeshi, Indian, Realism",CE 1777-1782,"The Metropolitan Museum of Art, New York, NY, USA","Bengal, India",Public Domain,"18th Century CE, Realism",Yup'ik,Painting
000227,"Daumier: Rue Transnonain, le 15 Avril, 1834","Bright light draws the eye to a dead man, dressed in a blood-stained nightshirt, whose body lies sprawled, head resting against the side of his bed, in the center of the image. Around his body is an overturned chair and two other figures, also lying on the bloody floor: the head of a man on the right and the feet of a figure in the background on the left. Perhaps most horrifying is the fact that the central figure has collapsed on top of a fallen child, whose bloody head and arms stick out from beneath that murdered man.",Public Domain,Honoré Daumier,"A dead body lies in a pool of blood in a bedroom, with other bodies around it.","Northern and Western European, French, Social Realism, Realism",CE 1834,"Art Institute of Chicago, Chicago, IL, USA","Paris, France",Public Domain,"19th Century CE, Social Realism",corpse,Prints
